id,label,subPropertyOf,equivalentProperty,subproperties,domainIncludes,rangeIncludes,inverseOf,supersedes,supersededBy,isPartOf
https://schema.org/accountMinimumInflow,accountMinimumInflow,,,,https://schema.org/BankAccount,https://schema.org/MonetaryAmount,,,,https://pending.schema.org
https://schema.org/accountOverdraftLimit,accountOverdraftLimit,,,,https://schema.org/BankAccount,https://schema.org/MonetaryAmount,,,,https://pending.schema.org
https://schema.org/accountablePerson,accountablePerson,,,,https://schema.org/CreativeWork,https://schema.org/Person,,,,
https://schema.org/acquireLicensePage,acquireLicensePage,https://schema.org/usageInfo,,,https://schema.org/CreativeWork,"https://schema.org/CreativeWork, https://schema.org/URL",,,,https://pending.schema.org
https://schema.org/acquiredFrom,acquiredFrom,,,,https://schema.org/OwnershipInfo,"https://schema.org/Organization, https://schema.org/Person",,,,
https://schema.org/acrissCode,acrissCode,,,,"https://schema.org/BusOrCoach, https://schema.org/Car",https://schema.org/Text,,,,https://auto.schema.org
https://schema.org/actionAccessibilityRequirement,actionAccessibilityRequirement,,,,https://schema.org/ConsumeAction,https://schema.org/ActionAccessSpecification,,,,
https://schema.org/actionApplication,actionApplication,,,,https://schema.org/EntryPoint,https://schema.org/SoftwareApplication,,https://schema.org/application,,
https://schema.org/actionOption,actionOption,https://schema.org/object,,,https://schema.org/ChooseAction,"https://schema.org/Text, https://schema.org/Thing",,https://schema.org/option,,
https://schema.org/actionPlatform,actionPlatform,,,,https://schema.org/EntryPoint,"https://schema.org/DigitalPlatformEnumeration, https://schema.org/Text, https://schema.org/URL",,,,
https://schema.org/actionStatus,actionStatus,,,,https://schema.org/Action,https://schema.org/ActionStatusType,,,,
https://schema.org/actionableFeedbackPolicy,actionableFeedbackPolicy,https://schema.org/publishingPrinciples,,,"https://schema.org/NewsMediaOrganization, https://schema.org/Organization","https://schema.org/CreativeWork, https://schema.org/URL",,,,https://pending.schema.org
https://schema.org/activeIngredient,activeIngredient,,,,"https://schema.org/DietarySupplement, https://schema.org/Drug, https://schema.org/DrugStrength, https://schema.org/Substance",https://schema.org/Text,,,,
https://schema.org/activityDuration,activityDuration,,,,https://schema.org/ExercisePlan,"https://schema.org/Duration, https://schema.org/QuantitativeValue",,,,
https://schema.org/activityFrequency,activityFrequency,,,,https://schema.org/ExercisePlan,"https://schema.org/QuantitativeValue, https://schema.org/Text",,,,
https://schema.org/actor,actor,,,https://schema.org/readBy,"https://schema.org/Clip, https://schema.org/CreativeWorkSeason, https://schema.org/Episode, https://schema.org/Event, https://schema.org/Movie, https://schema.org/MovieSeries, https://schema.org/PodcastSeries, https://schema.org/RadioSeries, https://schema.org/TVSeries, https://schema.org/VideoGame, https://schema.org/VideoGameSeries, https://schema.org/VideoObject",https://schema.org/Person,,https://schema.org/actors,,
https://schema.org/actors,actors,,,,"https://schema.org/Clip, https://schema.org/Episode, https://schema.org/Movie, https://schema.org/MovieSeries, https://schema.org/RadioSeries, https://schema.org/TVSeries, https://schema.org/VideoGame, https://schema.org/VideoGameSeries, https://schema.org/VideoObject",https://schema.org/Person,,,https://schema.org/actor,
https://schema.org/addOn,addOn,,,,https://schema.org/Offer,https://schema.org/Offer,,,,
https://schema.org/additionalName,additionalName,https://schema.org/alternateName,,,https://schema.org/Person,https://schema.org/Text,,,,
https://schema.org/additionalNumberOfGuests,additionalNumberOfGuests,,,,https://schema.org/RsvpAction,https://schema.org/Number,,,,
https://schema.org/additionalProperty,additionalProperty,,,,"https://schema.org/MerchantReturnPolicy, https://schema.org/Offer, https://schema.org/Place, https://schema.org/Product, https://schema.org/QualitativeValue, https://schema.org/QuantitativeValue",https://schema.org/PropertyValue,,,,
https://schema.org/additionalType,additionalType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,,https://schema.org/Thing,"https://schema.org/Text, https://schema.org/URL",,,,
https://schema.org/additionalVariable,additionalVariable,,,,https://schema.org/ExercisePlan,https://schema.org/Text,,,,
https://schema.org/address,address,,,,"https://schema.org/GeoCoordinates, https://schema.org/GeoShape, https://schema.org/Organization, https://schema.org/Person, https://schema.org/Place","https://schema.org/PostalAddress, https://schema.org/Text",,,,
https://schema.org/addressCountry,addressCountry,,,,"https://schema.org/DefinedRegion, https://schema.org/GeoCoordinates, https://schema.org/GeoShape, https://schema.org/PostalAddress","https://schema.org/Country, https://schema.org/Text",,,,
https://schema.org/addressLocality,addressLocality,,,,https://schema.org/PostalAddress,https://schema.org/Text,,,,
https://schema.org/addressRegion,addressRegion,,,,"https://schema.org/DefinedRegion, https://schema.org/PostalAddress",https://schema.org/Text,,,,
https://schema.org/administrationRoute,administrationRoute,,,,https://schema.org/Drug,https://schema.org/Text,,,,
https://schema.org/advanceBookingRequirement,advanceBookingRequirement,,,,"https://schema.org/Demand, https://schema.org/Offer",https://schema.org/QuantitativeValue,,,,
https://schema.org/adverseOutcome,adverseOutcome,,,,"https://schema.org/MedicalDevice, https://schema.org/TherapeuticProcedure",https://schema.org/MedicalEntity,,,,
https://schema.org/affectedBy,affectedBy,,,,https://schema.org/MedicalTest,https://schema.org/Drug,,,,
https://schema.org/affiliation,affiliation,https://schema.org/memberOf,,,https://schema.org/Person,https://schema.org/Organization,,,,
https://schema.org/afterMedia,afterMedia,,,,https://schema.org/HowToDirection,"https://schema.org/MediaObject, https://schema.org/URL",,,,
https://schema.org/agent,agent,,,,https://schema.org/Action,"https://schema.org/Organization, https://schema.org/Person",,,,
https://schema.org/agentInteractionStatistic,agentInteractionStatistic,,,,"https://schema.org/Organization, https://schema.org/Person",https://schema.org/InteractionCounter,,,,https://pending.schema.org
https://schema.org/aggregateRating,aggregateRating,,,,"https://schema.org/Brand, https://schema.org/CreativeWork, https://schema.org/Event, https://schema.org/Offer, https://schema.org/Organization, https://schema.org/Place, https://schema.org/Product, https://schema.org/Service",https://schema.org/AggregateRating,,,,
https://schema.org/aircraft,aircraft,,,,https://schema.org/Flight,"https://schema.org/Text, https://schema.org/Vehicle",,,,
https://schema.org/album,album,,,,https://schema.org/MusicGroup,https://schema.org/MusicAlbum,,https://schema.org/albums,,
https://schema.org/albumProductionType,albumProductionType,,,,https://schema.org/MusicAlbum,https://schema.org/MusicAlbumProductionType,,,,
https://schema.org/albumRelease,albumRelease,,,,https://schema.org/MusicAlbum,https://schema.org/MusicRelease,https://schema.org/releaseOf,,,
https://schema.org/albumReleaseType,albumReleaseType,,,,https://schema.org/MusicAlbum,https://schema.org/MusicAlbumReleaseType,,,,
https://schema.org/albums,albums,,,,https://schema.org/MusicGroup,https://schema.org/MusicAlbum,,,https://schema.org/album,
https://schema.org/alcoholWarning,alcoholWarning,,,,https://schema.org/Drug,https://schema.org/Text,,,,
https://schema.org/algorithm,algorithm,,,,https://schema.org/MedicalRiskScore,https://schema.org/Text,,,,
https://schema.org/alignmentType,alignmentType,,,,https://schema.org/AlignmentObject,https://schema.org/Text,,,,
https://schema.org/alternateName,alternateName,,,https://schema.org/additionalName,https://schema.org/Thing,https://schema.org/Text,,,,
https://schema.org/alternativeHeadline,alternativeHeadline,,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/alternativeOf,alternativeOf,,,,https://schema.org/Gene,https://schema.org/Gene,,,,https://pending.schema.org
https://schema.org/alumni,alumni,,,,"https://schema.org/EducationalOrganization, https://schema.org/Organization",https://schema.org/Person,https://schema.org/alumniOf,,,
https://schema.org/alumniOf,alumniOf,,,,https://schema.org/Person,"https://schema.org/EducationalOrganization, https://schema.org/Organization",https://schema.org/alumni,,,
https://schema.org/amenityFeature,amenityFeature,,,,"https://schema.org/Accommodation, https://schema.org/FloorPlan, https://schema.org/LodgingBusiness, https://schema.org/Place",https://schema.org/LocationFeatureSpecification,,,,
https://schema.org/amount,amount,,,,"https://schema.org/DatedMoneySpecification, https://schema.org/InvestmentOrDeposit, https://schema.org/LoanOrCredit, https://schema.org/MonetaryGrant, https://schema.org/MoneyTransfer","https://schema.org/MonetaryAmount, https://schema.org/Number",,,,
https://schema.org/amountOfThisGood,amountOfThisGood,,,,https://schema.org/TypeAndQuantityNode,https://schema.org/Number,,,,
https://schema.org/announcementLocation,announcementLocation,https://schema.org/spatialCoverage,,,https://schema.org/SpecialAnnouncement,"https://schema.org/CivicStructure, https://schema.org/LocalBusiness",,,,https://pending.schema.org
https://schema.org/annualPercentageRate,annualPercentageRate,,,,https://schema.org/FinancialProduct,"https://schema.org/Number, https://schema.org/QuantitativeValue",,,,
https://schema.org/answerCount,answerCount,,,,https://schema.org/Question,https://schema.org/Integer,,,,
https://schema.org/answerExplanation,answerExplanation,,,,https://schema.org/Answer,"https://schema.org/Comment, https://schema.org/WebContent",,,,https://pending.schema.org
https://schema.org/antagonist,antagonist,,,,https://schema.org/Muscle,https://schema.org/Muscle,,,,
https://schema.org/appearance,appearance,https://schema.org/workExample,,,https://schema.org/Claim,https://schema.org/CreativeWork,,,,https://pending.schema.org
https://schema.org/applicableCountry,applicableCountry,,,,https://schema.org/MerchantReturnPolicy,"https://schema.org/Country, https://schema.org/Text",,,,https://pending.schema.org
https://schema.org/applicableLocation,applicableLocation,,,,"https://schema.org/DrugCost, https://schema.org/DrugLegalStatus",https://schema.org/AdministrativeArea,,,,
https://schema.org/applicantLocationRequirements,applicantLocationRequirements,,,,https://schema.org/JobPosting,https://schema.org/AdministrativeArea,,,,https://pending.schema.org
https://schema.org/application,application,,,,https://schema.org/EntryPoint,https://schema.org/SoftwareApplication,,,https://schema.org/actionApplication,
https://schema.org/applicationCategory,applicationCategory,,,,https://schema.org/SoftwareApplication,"https://schema.org/Text, https://schema.org/URL",,,,
https://schema.org/applicationContact,applicationContact,,,,https://schema.org/JobPosting,https://schema.org/ContactPoint,,,,https://pending.schema.org
https://schema.org/applicationDeadline,applicationDeadline,,,,https://schema.org/EducationalOccupationalProgram,https://schema.org/Date,,,,https://pending.schema.org
https://schema.org/applicationStartDate,applicationStartDate,,,,https://schema.org/EducationalOccupationalProgram,https://schema.org/Date,,,,https://pending.schema.org
https://schema.org/applicationSubCategory,applicationSubCategory,,,,https://schema.org/SoftwareApplication,"https://schema.org/Text, https://schema.org/URL",,,,
https://schema.org/applicationSuite,applicationSuite,,,,https://schema.org/SoftwareApplication,https://schema.org/Text,,,,
https://schema.org/appliesToDeliveryMethod,appliesToDeliveryMethod,,,,"https://schema.org/DeliveryChargeSpecification, https://schema.org/PaymentChargeSpecification",https://schema.org/DeliveryMethod,,,,
https://schema.org/appliesToPaymentMethod,appliesToPaymentMethod,,,,https://schema.org/PaymentChargeSpecification,https://schema.org/PaymentMethod,,,,
https://schema.org/archiveHeld,archiveHeld,,,,https://schema.org/ArchiveOrganization,https://schema.org/ArchiveComponent,https://schema.org/holdingArchive,,,https://pending.schema.org
https://schema.org/archivedAt,archivedAt,,,,https://schema.org/CreativeWork,"https://schema.org/URL, https://schema.org/WebPage",,,,https://pending.schema.org
https://schema.org/area,area,,,,https://schema.org/BroadcastService,https://schema.org/Place,,,https://schema.org/serviceArea,
https://schema.org/areaServed,areaServed,,,"https://schema.org/availableAtOrFrom, https://schema.org/eligibleRegion","https://schema.org/ContactPoint, https://schema.org/DeliveryChargeSpecification, https://schema.org/Demand, https://schema.org/Offer, https://schema.org/Organization, https://schema.org/Service","https://schema.org/AdministrativeArea, https://schema.org/GeoShape, https://schema.org/Place, https://schema.org/Text",,https://schema.org/serviceArea,,
https://schema.org/arrivalAirport,arrivalAirport,,,,https://schema.org/Flight,https://schema.org/Airport,,,,
https://schema.org/arrivalBoatTerminal,arrivalBoatTerminal,,,,https://schema.org/BoatTrip,https://schema.org/BoatTerminal,,,,https://pending.schema.org
https://schema.org/arrivalBusStop,arrivalBusStop,,,,https://schema.org/BusTrip,"https://schema.org/BusStation, https://schema.org/BusStop",,,,
https://schema.org/arrivalGate,arrivalGate,,,,https://schema.org/Flight,https://schema.org/Text,,,,
https://schema.org/arrivalPlatform,arrivalPlatform,,,,https://schema.org/TrainTrip,https://schema.org/Text,,,,
https://schema.org/arrivalStation,arrivalStation,,,,https://schema.org/TrainTrip,https://schema.org/TrainStation,,,,
https://schema.org/arrivalTerminal,arrivalTerminal,,,,https://schema.org/Flight,https://schema.org/Text,,,,
https://schema.org/arrivalTime,arrivalTime,,,,https://schema.org/Trip,"https://schema.org/DateTime, https://schema.org/Time",,,,
https://schema.org/artEdition,artEdition,,,,https://schema.org/VisualArtwork,"https://schema.org/Integer, https://schema.org/Text",,,,
https://schema.org/artMedium,artMedium,https://schema.org/material,,,https://schema.org/VisualArtwork,"https://schema.org/Text, https://schema.org/URL",,,,
https://schema.org/arterialBranch,arterialBranch,,,,https://schema.org/Artery,https://schema.org/AnatomicalStructure,,https://schema.org/branch,,
https://schema.org/artform,artform,,,,https://schema.org/VisualArtwork,"https://schema.org/Text, https://schema.org/URL",,,,
https://schema.org/articleBody,articleBody,,,,https://schema.org/Article,https://schema.org/Text,,,,
https://schema.org/articleSection,articleSection,,,,https://schema.org/Article,https://schema.org/Text,,,,
https://schema.org/artist,artist,,,,"https://schema.org/ComicIssue, https://schema.org/ComicStory, https://schema.org/VisualArtwork",https://schema.org/Person,,,,https://bib.schema.org
https://schema.org/artworkSurface,artworkSurface,,,,https://schema.org/VisualArtwork,"https://schema.org/Text, https://schema.org/URL",,https://schema.org/surface,,
https://schema.org/asin,asin,https://schema.org/identifier,,,"https://schema.org/Demand, https://schema.org/Offer, https://schema.org/Product","https://schema.org/Text, https://schema.org/URL",,,,https://pending.schema.org
https://schema.org/aspect,aspect,,,,https://schema.org/MedicalWebPage,https://schema.org/Text,,,https://schema.org/mainContentOfPage,
https://schema.org/assembly,assembly,,,,https://schema.org/APIReference,https://schema.org/Text,,,https://schema.org/executableLibraryName,
https://schema.org/assemblyVersion,assemblyVersion,,,,https://schema.org/APIReference,https://schema.org/Text,,,,
https://schema.org/assesses,assesses,,,,"https://schema.org/CreativeWork, https://schema.org/EducationEvent, https://schema.org/LearningResource","https://schema.org/DefinedTerm, https://schema.org/Text",,,,https://pending.schema.org
https://schema.org/associatedAnatomy,associatedAnatomy,,,,"https://schema.org/MedicalCondition, https://schema.org/PhysicalActivity","https://schema.org/AnatomicalStructure, https://schema.org/AnatomicalSystem, https://schema.org/SuperficialAnatomy",,,,
https://schema.org/associatedArticle,associatedArticle,,,,https://schema.org/MediaObject,https://schema.org/NewsArticle,,,,
https://schema.org/associatedClaimReview,associatedClaimReview,https://schema.org/associatedReview,,,https://schema.org/Review,https://schema.org/Review,,,,https://pending.schema.org
https://schema.org/associatedDisease,associatedDisease,,,,https://schema.org/BioChemEntity,"https://schema.org/MedicalCondition, https://schema.org/PropertyValue, https://schema.org/URL",,,,https://pending.schema.org
https://schema.org/associatedMedia,associatedMedia,,,,"https://schema.org/CreativeWork, https://schema.org/HyperToc, https://schema.org/HyperTocEntry",https://schema.org/MediaObject,,,,
https://schema.org/associatedMediaReview,associatedMediaReview,https://schema.org/associatedReview,,,https://schema.org/Review,https://schema.org/Review,,,,https://pending.schema.org
https://schema.org/associatedPathophysiology,associatedPathophysiology,,,,"https://schema.org/AnatomicalStructure, https://schema.org/AnatomicalSystem, https://schema.org/SuperficialAnatomy",https://schema.org/Text,,,,
https://schema.org/associatedReview,associatedReview,,,"https://schema.org/associatedClaimReview, https://schema.org/associatedMediaReview",https://schema.org/Review,https://schema.org/Review,,,,https://pending.schema.org
https://schema.org/athlete,athlete,,,,https://schema.org/SportsTeam,https://schema.org/Person,,,,
https://schema.org/attendee,attendee,,,,https://schema.org/Event,"https://schema.org/Organization, https://schema.org/Person",,https://schema.org/attendees,,
https://schema.org/attendees,attendees,,,,https://schema.org/Event,"https://schema.org/Organization, https://schema.org/Person",,,https://schema.org/attendee,
https://schema.org/audience,audience,,,,"https://schema.org/CreativeWork, https://schema.org/Event, https://schema.org/LodgingBusiness, https://schema.org/PlayAction, https://schema.org/Product, https://schema.org/Service",https://schema.org/Audience,,https://schema.org/serviceAudience,,
https://schema.org/audienceType,audienceType,,,,https://schema.org/Audience,https://schema.org/Text,,,,
https://schema.org/audio,audio,,,,https://schema.org/CreativeWork,"https://schema.org/AudioObject, https://schema.org/Clip, https://schema.org/MusicRecording",,,,
https://schema.org/auditDate,auditDate,,,,https://schema.org/Certification,"https://schema.org/Date, https://schema.org/DateTime",,,,
https://schema.org/authenticator,authenticator,,,,https://schema.org/MediaSubscription,https://schema.org/Organization,,,,
https://schema.org/author,author,,,,"https://schema.org/CreativeWork, https://schema.org/Rating","https://schema.org/Organization, https://schema.org/Person",,,,
https://schema.org/availability,availability,,,,"https://schema.org/Demand, https://schema.org/Offer",https://schema.org/ItemAvailability,,,,
https://schema.org/availabilityEnds,availabilityEnds,,,,"https://schema.org/ActionAccessSpecification, https://schema.org/Demand, https://schema.org/Offer","https://schema.org/Date, https://schema.org/DateTime, https://schema.org/Time",,,,
https://schema.org/availabilityStarts,availabilityStarts,,,,"https://schema.org/ActionAccessSpecification, https://schema.org/Demand, https://schema.org/Offer","https://schema.org/Date, https://schema.org/DateTime, https://schema.org/Time",,,,
https://schema.org/availableAtOrFrom,availableAtOrFrom,https://schema.org/areaServed,,,"https://schema.org/Demand, https://schema.org/Offer",https://schema.org/Place,,,,
https://schema.org/availableChannel,availableChannel,,,,https://schema.org/Service,https://schema.org/ServiceChannel,,,,
https://schema.org/availableDeliveryMethod,availableDeliveryMethod,,,,"https://schema.org/Demand, https://schema.org/Offer",https://schema.org/DeliveryMethod,,,,
https://schema.org/availableFrom,availableFrom,,,,https://schema.org/DeliveryEvent,https://schema.org/DateTime,,,,
https://schema.org/availableIn,availableIn,,,,https://schema.org/DrugStrength,https://schema.org/AdministrativeArea,,,,
https://schema.org/availableLanguage,availableLanguage,,,,"https://schema.org/ContactPoint, https://schema.org/Course, https://schema.org/LodgingBusiness, https://schema.org/ServiceChannel, https://schema.org/TouristAttraction","https://schema.org/Language, https://schema.org/Text",,,,
https://schema.org/availableOnDevice,availableOnDevice,,,,https://schema.org/SoftwareApplication,https://schema.org/Text,,https://schema.org/device,,
https://schema.org/availableService,availableService,,,,"https://schema.org/Hospital, https://schema.org/MedicalClinic, https://schema.org/Physician","https://schema.org/MedicalProcedure, https://schema.org/MedicalTest, https://schema.org/MedicalTherapy",,,,
https://schema.org/availableStrength,availableStrength,,,,https://schema.org/Drug,https://schema.org/DrugStrength,,,,
https://schema.org/availableTest,availableTest,,,,https://schema.org/DiagnosticLab,https://schema.org/MedicalTest,,,,
https://schema.org/availableThrough,availableThrough,,,,https://schema.org/DeliveryEvent,https://schema.org/DateTime,,,,
https://schema.org/award,award,,,,"https://schema.org/CreativeWork, https://schema.org/Organization, https://schema.org/Person, https://schema.org/Product, https://schema.org/Service",https://schema.org/Text,,https://schema.org/awards,,
https://schema.org/awards,awards,,,,"https://schema.org/CreativeWork, https://schema.org/Organization, https://schema.org/Person, https://schema.org/Product",https://schema.org/Text,,,https://schema.org/award,
https://schema.org/awayTeam,awayTeam,https://schema.org/competitor,,,https://schema.org/SportsEvent,"https://schema.org/Person, https://schema.org/SportsTeam",,,,
https://schema.org/backstory,backstory,,,,https://schema.org/Article,"https://schema.org/CreativeWork, https://schema.org/Text",,,,https://pending.schema.org
https://schema.org/bankAccountType,bankAccountType,,,,https://schema.org/BankAccount,"https://schema.org/Text, https://schema.org/URL",,,,https://pending.schema.org
https://schema.org/baseSalary,baseSalary,,,,"https://schema.org/EmployeeRole, https://schema.org/JobPosting","https://schema.org/MonetaryAmount, https://schema.org/Number, https://schema.org/PriceSpecification",,,,
https://schema.org/bccRecipient,bccRecipient,https://schema.org/recipient,,,https://schema.org/Message,"https://schema.org/ContactPoint, https://schema.org/Organization, https://schema.org/Person",,,,
https://schema.org/bed,bed,,,,"https://schema.org/Accommodation, https://schema.org/HotelRoom, https://schema.org/Suite","https://schema.org/BedDetails, https://schema.org/BedType, https://schema.org/Text",,,,
https://schema.org/beforeMedia,beforeMedia,,,,https://schema.org/HowToDirection,"https://schema.org/MediaObject, https://schema.org/URL",,,,
https://schema.org/beneficiaryBank,beneficiaryBank,,,,https://schema.org/MoneyTransfer,"https://schema.org/BankOrCreditUnion, https://schema.org/Text",,,,https://pending.schema.org
https://schema.org/benefits,benefits,,,,https://schema.org/JobPosting,https://schema.org/Text,,,https://schema.org/jobBenefits,
https://schema.org/benefitsSummaryUrl,benefitsSummaryUrl,,,,https://schema.org/HealthInsurancePlan,https://schema.org/URL,,,,https://pending.schema.org
https://schema.org/bestRating,bestRating,,,,https://schema.org/Rating,"https://schema.org/Number, https://schema.org/Text",,,,
https://schema.org/billingAddress,billingAddress,,,,https://schema.org/Order,https://schema.org/PostalAddress,,,,
https://schema.org/billingDuration,billingDuration,,,,https://schema.org/UnitPriceSpecification,"https://schema.org/Duration, https://schema.org/Number, https://schema.org/QuantitativeValue",,,,https://pending.schema.org
https://schema.org/billingIncrement,billingIncrement,,,,https://schema.org/UnitPriceSpecification,https://schema.org/Number,,,,
https://schema.org/billingPeriod,billingPeriod,,,,https://schema.org/Invoice,https://schema.org/Duration,,,,
https://schema.org/billingStart,billingStart,,,,https://schema.org/UnitPriceSpecification,https://schema.org/Number,,,,https://pending.schema.org
https://schema.org/bioChemInteraction,bioChemInteraction,,,,https://schema.org/BioChemEntity,https://schema.org/BioChemEntity,,,,https://pending.schema.org
https://schema.org/bioChemSimilarity,bioChemSimilarity,,,,https://schema.org/BioChemEntity,https://schema.org/BioChemEntity,,,,https://pending.schema.org
https://schema.org/biologicalRole,biologicalRole,,,,https://schema.org/BioChemEntity,https://schema.org/DefinedTerm,,,,https://pending.schema.org
https://schema.org/biomechnicalClass,biomechnicalClass,,,,https://schema.org/Joint,https://schema.org/Text,,,,
https://schema.org/birthDate,birthDate,,,,https://schema.org/Person,https://schema.org/Date,,,,
https://schema.org/birthPlace,birthPlace,,,,https://schema.org/Person,https://schema.org/Place,,,,
https://schema.org/bitrate,bitrate,,,,https://schema.org/MediaObject,https://schema.org/Text,,,,
https://schema.org/blogPost,blogPost,,,,https://schema.org/Blog,https://schema.org/BlogPosting,,https://schema.org/blogPosts,,
https://schema.org/blogPosts,blogPosts,,,,https://schema.org/Blog,https://schema.org/BlogPosting,,,https://schema.org/blogPost,
https://schema.org/bloodSupply,bloodSupply,,,,https://schema.org/Muscle,https://schema.org/Vessel,,,,
https://schema.org/boardingGroup,boardingGroup,,,,https://schema.org/FlightReservation,https://schema.org/Text,,,,
https://schema.org/boardingPolicy,boardingPolicy,,,,"https://schema.org/Airline, https://schema.org/Flight",https://schema.org/BoardingPolicyType,,,,
https://schema.org/bodyLocation,bodyLocation,,,,"https://schema.org/AnatomicalStructure, https://schema.org/MedicalProcedure",https://schema.org/Text,,,,
https://schema.org/bodyType,bodyType,,,,https://schema.org/Vehicle,"https://schema.org/QualitativeValue, https://schema.org/Text, https://schema.org/URL",,,,https://auto.schema.org
https://schema.org/bookEdition,bookEdition,,,,https://schema.org/Book,https://schema.org/Text,,,,
https://schema.org/bookFormat,bookFormat,,,,https://schema.org/Book,https://schema.org/BookFormatType,,,,
https://schema.org/bookingAgent,bookingAgent,,,,https://schema.org/Reservation,"https://schema.org/Organization, https://schema.org/Person",,,https://schema.org/broker,
https://schema.org/bookingTime,bookingTime,,,,https://schema.org/Reservation,https://schema.org/DateTime,,,,
https://schema.org/borrower,borrower,https://schema.org/participant,,,https://schema.org/LendAction,https://schema.org/Person,,,,
https://schema.org/box,box,,,,https://schema.org/GeoShape,https://schema.org/Text,,,,
https://schema.org/branch,branch,,,,https://schema.org/Nerve,https://schema.org/AnatomicalStructure,,,https://schema.org/arterialBranch,
https://schema.org/branchCode,branchCode,,,,https://schema.org/Place,https://schema.org/Text,,,,
https://schema.org/branchOf,branchOf,,,,https://schema.org/LocalBusiness,https://schema.org/Organization,,,https://schema.org/parentOrganization,
https://schema.org/brand,brand,,,,"https://schema.org/Organization, https://schema.org/Person, https://schema.org/Product, https://schema.org/Service","https://schema.org/Brand, https://schema.org/Organization",,,,
https://schema.org/breadcrumb,breadcrumb,,,,https://schema.org/WebPage,"https://schema.org/BreadcrumbList, https://schema.org/Text",,,,
https://schema.org/breastfeedingWarning,breastfeedingWarning,,,,https://schema.org/Drug,https://schema.org/Text,,,,
https://schema.org/broadcastAffiliateOf,broadcastAffiliateOf,,,,https://schema.org/BroadcastService,https://schema.org/Organization,,,,
https://schema.org/broadcastChannelId,broadcastChannelId,,,,https://schema.org/BroadcastChannel,https://schema.org/Text,,,,
https://schema.org/broadcastDisplayName,broadcastDisplayName,,,,https://schema.org/BroadcastService,https://schema.org/Text,,,,
https://schema.org/broadcastFrequency,broadcastFrequency,,,,"https://schema.org/BroadcastChannel, https://schema.org/BroadcastService","https://schema.org/BroadcastFrequencySpecification, https://schema.org/Text",,,,
https://schema.org/broadcastFrequencyValue,broadcastFrequencyValue,,,,https://schema.org/BroadcastFrequencySpecification,"https://schema.org/Number, https://schema.org/QuantitativeValue",,,,
https://schema.org/broadcastOfEvent,broadcastOfEvent,,,,https://schema.org/BroadcastEvent,https://schema.org/Event,,,,
https://schema.org/broadcastServiceTier,broadcastServiceTier,,,,https://schema.org/BroadcastChannel,https://schema.org/Text,,,,
